model;features;literals;attributes;features with attributes;variables;variables for aggregations;configuring constraints;creation;hasSolution;countSolutions
sandwich;19;58;0;0;19;0;0;38;19;-1
sandwich;19;58;0;0;19;0;0;6;16;-1
sandwich;19;58;0;0;19;0;0;8;14;-1
sandwich;19;58;0;0;19;0;0;5;15;-1
sandwich;19;58;0;0;19;0;0;8;17;-1
sandwich;19;58;0;0;19;0;0;8;16;-1
sandwich;19;58;0;0;19;0;0;6;15;-1
sandwich;19;58;0;0;19;0;0;5;16;-1
sandwich;19;58;0;0;19;0;0;6;16;-1
sandwich;19;58;0;0;19;0;0;5;15;-1
sandwich;19;58;0;0;19;0;0;7;16;-1
sandwich;19;58;0;0;19;0;0;5;18;-1
sandwich;19;58;0;0;19;0;0;7;15;-1
sandwich;19;58;0;0;19;0;0;5;16;-1
sandwich;19;58;0;0;19;0;0;4;17;-1
sandwich;19;58;0;0;19;0;0;5;15;-1
sandwich;19;58;0;0;19;0;0;6;15;-1
sandwich;19;58;0;0;19;0;0;5;17;-1
sandwich;19;58;0;0;19;0;0;8;17;-1
sandwich;19;58;0;0;19;0;0;5;17;-1
sandwich;19;58;0;0;19;0;0;4;14;-1
sandwich;19;58;0;0;19;0;0;6;16;-1
sandwich;19;58;0;0;19;0;0;6;17;-1
sandwich;19;58;0;0;19;0;0;6;16;-1
sandwich;19;58;0;0;19;0;0;6;16;-1
sandwich;19;58;0;0;19;0;0;4;13;-1
sandwich;19;58;0;0;19;0;0;5;14;-1
sandwich;19;58;0;0;19;0;0;5;15;-1
sandwich;19;58;0;0;19;0;0;10;17;-1
sandwich;19;58;0;0;19;0;0;7;15;-1
sandwich;19;58;0;0;19;0;0;4;17;-1
sandwich;19;58;0;0;19;0;0;5;16;-1
sandwich;19;58;0;0;19;0;0;5;17;-1
sandwich;19;58;0;0;19;0;0;6;15;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;5;14;-1
sandwich;19;58;0;0;19;0;0;6;15;-1
sandwich;19;58;0;0;19;0;0;6;15;-1
sandwich;19;58;0;0;19;0;0;4;16;-1
sandwich;19;58;0;0;19;0;0;4;14;-1
sandwich;19;58;0;0;19;0;0;4;13;-1
sandwich;19;58;0;0;19;0;0;4;16;-1
sandwich;19;58;0;0;19;0;0;4;13;-1
sandwich;19;58;0;0;19;0;0;5;15;-1
sandwich;19;58;0;0;19;0;0;5;15;-1
sandwich;19;58;0;0;19;0;0;5;17;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;5;15;-1
sandwich;19;58;0;0;19;0;0;5;16;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;4;16;-1
sandwich;19;58;0;0;19;0;0;6;16;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;5;14;-1
sandwich;19;58;0;0;19;0;0;4;14;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;6;13;-1
sandwich;19;58;0;0;19;0;0;4;16;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;5;13;-1
sandwich;19;58;0;0;19;0;0;6;16;-1
sandwich;19;58;0;0;19;0;0;5;16;-1
sandwich;19;58;0;0;19;0;0;3;14;-1
sandwich;19;58;0;0;19;0;0;5;14;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;4;16;-1
sandwich;19;58;0;0;19;0;0;3;14;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;4;16;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;4;16;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;7;15;-1
sandwich;19;58;0;0;19;0;0;4;16;-1
sandwich;19;58;0;0;19;0;0;5;15;-1
sandwich;19;58;0;0;19;0;0;3;16;-1
sandwich;19;58;0;0;19;0;0;5;15;-1
sandwich;19;58;0;0;19;0;0;3;15;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;5;19;-1
sandwich;19;58;0;0;19;0;0;4;13;-1
sandwich;19;58;0;0;19;0;0;5;16;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;4;14;-1
sandwich;19;58;0;0;19;0;0;4;17;-1
sandwich;19;58;0;0;19;0;0;4;16;-1
sandwich;19;58;0;0;19;0;0;4;15;-1
sandwich;19;58;0;0;19;0;0;4;13;-1
sandwich;19;58;0;0;19;0;0;5;15;-1
sandwich;19;58;0;0;19;0;0;4;14;-1
sandwich;19;58;0;0;19;0;0;4;14;-1
sandwich;19;58;0;0;19;0;0;3;14;-1
sandwich;19;58;0;0;19;0;0;3;16;-1
sandwich;19;58;0;0;19;0;0;3;15;-1
sandwich;19;58;0;0;19;0;0;4;17;-1
sandwich;19;58;0;0;19;0;0;3;15;-1
sandwich;19;58;0;0;19;0;0;3;15;-1
sandwich;19;58;0;0;19;0;0;5;14;-1
sandwich_attr;19;517;2;27;154;135;0;14;22;-1
sandwich_attr;19;517;2;27;154;135;0;10;22;-1
sandwich_attr;19;517;2;27;154;135;0;8;21;-1
