model;creation;solution
sandwich;38;19
sandwich;6;16
sandwich;8;14
sandwich;5;15
sandwich;8;17
sandwich;8;16
sandwich;6;15
sandwich;5;16
sandwich;6;16
sandwich;5;15
sandwich;7;16
sandwich;5;18
sandwich;7;15
sandwich;5;16
sandwich;4;17
sandwich;5;15
sandwich;6;15
sandwich;5;17
sandwich;8;17
sandwich;5;17
sandwich;4;14
sandwich;6;16
sandwich;6;17
sandwich;6;16
sandwich;6;16
sandwich;4;13
sandwich;5;14
sandwich;5;15
sandwich;10;17
sandwich;7;15
sandwich;4;17
sandwich;5;16
sandwich;5;17
sandwich;6;15
sandwich;4;15
sandwich;5;14
sandwich;6;15
sandwich;6;15
sandwich;4;16
sandwich;4;14
sandwich;4;13
sandwich;4;16
sandwich;4;13
sandwich;5;15
sandwich;5;15
sandwich;5;17
sandwich;4;15
sandwich;5;15
sandwich;5;16
sandwich;4;15
sandwich;4;15
sandwich;4;16
sandwich;6;16
sandwich;4;15
sandwich;5;14
sandwich;4;14
sandwich;4;15
sandwich;6;13
sandwich;4;16
sandwich;4;15
sandwich;5;13
sandwich;6;16
sandwich;5;16
sandwich;3;14
sandwich;5;14
sandwich;4;15
sandwich;4;16
sandwich;3;14
sandwich;4;15
sandwich;4;15
sandwich;4;16
sandwich;4;15
sandwich;4;16
sandwich;4;15
sandwich;7;15
sandwich;4;16
sandwich;5;15
sandwich;3;16
sandwich;5;15
sandwich;3;15
sandwich;4;15
sandwich;5;19
sandwich;4;13
sandwich;5;16
sandwich;4;15
sandwich;4;14
sandwich;4;17
sandwich;4;16
sandwich;4;15
sandwich;4;13
sandwich;5;15
sandwich;4;14
sandwich;4;14
sandwich;3;14
sandwich;3;16
sandwich;3;15
sandwich;4;17
sandwich;3;15
sandwich;3;15
sandwich;5;14
sandwich_attr;14;22
sandwich_attr;10;22
sandwich_attr;8;21
sandwich_attr;6;25
sandwich_attr;6;22
sandwich_attr;8;23
sandwich_attr;8;23
sandwich_attr;9;24
sandwich_attr;8;22
sandwich_attr;4;24
sandwich_attr;6;25
sandwich_attr;3;24
sandwich_attr;4;24
sandwich_attr;6;21
sandwich_attr;4;23
sandwich_attr;6;21
sandwich_attr;5;22
sandwich_attr;5;23
sandwich_attr;5;21
sandwich_attr;5;24
sandwich_attr;5;20
sandwich_attr;6;21
sandwich_attr;6;22
sandwich_attr;6;23
sandwich_attr;8;21
sandwich_attr;4;23
sandwich_attr;5;23
sandwich_attr;4;22
sandwich_attr;5;24
sandwich_attr;4;21
sandwich_attr;4;22
sandwich_attr;5;24
sandwich_attr;5;23
sandwich_attr;4;22
sandwich_attr;4;21
sandwich_attr;4;21
sandwich_attr;7;22
sandwich_attr;9;24
sandwich_attr;5;22
sandwich_attr;5;21
sandwich_attr;3;21
sandwich_attr;4;24
sandwich_attr;6;22
sandwich_attr;4;24
sandwich_attr;3;23
sandwich_attr;4;22
sandwich_attr;5;22
sandwich_attr;5;21
sandwich_attr;6;22
sandwich_attr;4;24
sandwich_attr;4;22
sandwich_attr;3;22
sandwich_attr;6;21
sandwich_attr;4;24
sandwich_attr;4;23
sandwich_attr;4;22
sandwich_attr;5;23
sandwich_attr;5;23
sandwich_attr;5;22
sandwich_attr;4;22
sandwich_attr;5;20
sandwich_attr;6;21
sandwich_attr;4;24
sandwich_attr;4;23
sandwich_attr;4;23
sandwich_attr;4;20
sandwich_attr;4;23
sandwich_attr;6;21
sandwich_attr;4;25
sandwich_attr;6;23
sandwich_attr;5;21
sandwich_attr;5;22
sandwich_attr;3;22
sandwich_attr;4;22
sandwich_attr;4;21
sandwich_attr;5;21
sandwich_attr;5;21
sandwich_attr;4;23
sandwich_attr;5;22
sandwich_attr;6;22
sandwich_attr;4;21
sandwich_attr;4;22
sandwich_attr;5;23
sandwich_attr;5;22
